Model,CV_Precision,CV_Precision_Std,CV_Recall,CV_Recall_Std,CV_F1,CV_F1_Std,CV_Accuracy
distilbert,0.7902047004808139,0.009841332594458116,0.9426666666666665,0.014243907079480995,0.8595721505227324,0.002342576973767369,0.8459999999999999
biobert,0.797463591829395,0.013902569205842246,0.9390000000000001,0.030886890422960996,0.8619850431086945,0.009316837338978265,0.8498333333333333
roberta,0.7687735856269237,0.013390611665507562,0.9703333333333333,0.024458581770458857,0.8575267544727065,0.005957039926228707,0.8388333333333333
BiomedBERT,0.8121501109902525,0.02688091638098156,0.9263333333333333,0.04421412544525658,0.8641012128476213,0.004503448805104994,0.8545
