name,regime,kd_mode,alpha,ner_scheme,pretrain,pair,seed,dev_auprc,threshold_dev,train_pos_rate,test500_auprc,test500_auc,test500_f1_devt,test500_f1_priort,test500_t_prior,ep_relax_auprc,ep_relax_auc,ep_relax_f1_devt,ep_relax_f1_priort,ep_relax_t_prior,test299_auprc,test299_auc,test299_f1_devt,test299_f1_priort,test299_t_prior
P_pair-1_a0.5_full_pre2_s1,P,fixed,0.5,full,2,True,1,0.9983243424033137,0.38,0.32715022935779814,0.7052504918626132,0.6920164448561074,0.6465028355387523,0.6492537313432836,0.2748036628920061,0.7904856872260433,0.795673076923077,0.7058823529411765,0.7058823529411765,0.34500698884343367,0.8112194277078535,0.7972753518585348,0.7517401392111369,0.7528868360277137,0.288599034876518
P_pair-1_a0.5_full_typed_pre0_s1,P,fixed,0.5,full_typed,0,True,1,0.9987152261451259,0.89,0.32715022935779814,0.7039822696585091,0.7078925559401356,0.5617021276595745,0.6564299424184261,0.2748036628920061,0.8624702779489334,0.8541666666666666,0.7543859649122807,0.6857142857142857,0.34500698884343367,0.8383373158757254,0.8385059545290509,0.8,0.7477064220183486,0.288599034876518
P_pair-1_a0.5_full_typed_pre2_s1,P,fixed,0.5,full_typed,2,True,1,0.9990171031812414,0.88,0.32715022935779814,0.7176812159774458,0.7045125855148768,0.5934959349593496,0.6691871455576559,0.2748036628920061,0.8286740481816687,0.8377403846153846,0.736,0.7111111111111111,0.34500698884343367,0.84266811941587,0.8458588957055214,0.7699757869249395,0.7368421052631579,0.288599034876518
P_pair-1_a0.7_full_pre0_s1,P,fixed,0.7,full,0,True,1,0.9987575838683518,0.4,0.32715022935779814,0.715705572415643,0.6972488990721332,0.6679389312977099,0.6791744840525328,0.2748036628920061,0.8853894952970942,0.8613782051282052,0.7384615384615385,0.732824427480916,0.34500698884343367,0.8624057332559688,0.8528960664020209,0.7743467933491687,0.7670588235294118,0.288599034876518
P_pair-1_a0.7_full_pre2_s1,P,fixed,0.7,full,2,True,1,0.9979918584908735,0.92,0.32715022935779814,0.7226465208164198,0.7118412713888753,0.5714285714285714,0.6628571428571428,0.2748036628920061,0.8129249842791895,0.7940705128205128,0.7213114754098361,0.7058823529411765,0.34500698884343367,0.8104448264711772,0.786764705882353,0.759493670886076,0.7505827505827506,0.288599034876518
P_pair-1_a0.7_full_typed_pre0_s1,P,fixed,0.7,full_typed,0,True,1,0.9987461231828567,0.9,0.32715022935779814,0.7301130552773404,0.7067388160353597,0.6016260162601627,0.6767485822306238,0.2748036628920061,0.8462826108053532,0.812099358974359,0.6721311475409836,0.6818181818181818,0.34500698884343367,0.8434376417458994,0.8336791771923493,0.7791563275434243,0.7581395348837209,0.288599034876518
P_pair-1_a0.7_full_typed_pre2_s1,P,fixed,0.7,full_typed,2,True,1,0.9987754758342584,0.89,0.32715022935779814,0.7118535849708031,0.7000763743317245,0.5934959349593496,0.6502835538752363,0.2748036628920061,0.8346780112663544,0.8197115384615384,0.7377049180327869,0.7014925373134329,0.34500698884343367,0.8573767944621331,0.8445507037170696,0.7862407862407862,0.7534883720930232,0.288599034876518
S_kd-fixed_a0.3_full_pre0_s1,S,fixed,0.3,full,0,False,1,0.34751220318646864,0.31,0.08479047181311325,0.8820752041634962,0.8867872406116447,0.8342440801457195,0.8251533742331288,0.06734210460518948,0.7821264455198395,0.8481570512820513,0.7962962962962963,0.7384615384615385,0.0912118531257493,0.8320951349093739,0.8421147600144352,0.8024316109422492,0.7832512315270936,0.07175320145603362
S_kd-fixed_a0.3_full_pre2_s1,S,fixed,0.3,full,2,False,1,0.3590408994746438,0.34,0.08479047181311325,0.874444006356446,0.8881197289523717,0.8446069469835467,0.8248062015503876,0.06734210460518948,0.7830688628724539,0.8633814102564102,0.8256880733944955,0.7441860465116279,0.0912118531257493,0.8336552028536413,0.8559184409960303,0.8253012048192772,0.7843137254901961,0.07175320145603362
S_kd-fixed_a0.3_full_typed_pre0_s1,S,fixed,0.3,full_typed,0,False,1,0.3435665021867952,0.27,0.08479047181311325,0.8813103145480686,0.8879897300898618,0.8621908127208481,0.8242424242424242,0.06734210460518948,0.7478553433796099,0.8401442307692308,0.8035714285714286,0.7218045112781954,0.0912118531257493,0.8234194762374304,0.8422049801515699,0.8352941176470589,0.775609756097561,0.07175320145603362
