name,regime,kd_mode,alpha,ner_scheme,pretrain,pair,seed,dev_auprc,threshold_dev,train_pos_rate,test500_auprc,test500_auc,test500_f1_devt,test500_f1_priort,test500_t_prior,ep_relax_auprc,ep_relax_auc,ep_relax_f1_devt,ep_relax_f1_priort,ep_relax_t_prior,test299_auprc,test299_auc,test299_f1_devt,test299_f1_priort,test299_t_prior
D0s_pair-0_kd-fixed_a0.5_full_typed_pre2_s1,D,fixed,0.5,full_typed,2,False,1,0.3496856244561767,0.34,0.08479047181311325,0.8800191203152758,0.8861697460147224,0.8308823529411765,0.82642089093702,0.06734210460518948,0.7845211615904518,0.859775641025641,0.819047619047619,0.7218045112781954,0.0912118531257493,0.838061944742029,0.8555575604474919,0.8096676737160121,0.7834549878345499,0.07175320145603362
D0s_pair-0_kd-fixed_a0.5_full_typed_pre2_s2,D,fixed,0.5,full_typed,2,False,2,0.3390699454128848,0.21000000000000002,0.08479047181311325,0.8904843255232575,0.8975771461999709,0.8547854785478548,0.8297213622291022,0.06734210460518948,0.7993105835455742,0.873798076923077,0.7741935483870968,0.7384615384615385,0.0912118531257493,0.8509778675486017,0.8658877661494044,0.8148148148148148,0.7862407862407862,0.07175320145603362
D0s_pair-0_kd-fixed_a0.5_full_typed_pre2_s3,D,fixed,0.5,full_typed,2,False,3,0.377346968972362,0.39,0.08479047181311325,0.9000034853533989,0.9025008531175353,0.8461538461538461,0.8358662613981763,0.06734210460518948,0.8153699122254772,0.8705929487179487,0.8113207547169812,0.7441860465116279,0.0912118531257493,0.8543777612512554,0.8618729700469144,0.803680981595092,0.7921760391198044,0.07175320145603362
D0v_pair-0_kd-fixed_a0.5_full_typed_pre2_s1,D,fixed,0.5,full_typed,2,False,1,0.9963163389445008,0.47000000000000003,0.32715022935779814,0.8132086641401637,0.7885243504119339,0.7428571428571429,0.7692307692307693,0.2748036628920061,0.8006672081153504,0.7940705128205128,0.7107438016528925,0.7049180327868853,0.34500698884343367,0.7574648323413715,0.725821003247925,0.6938775510204082,0.724233983286908,0.288599034876518
D0v_pair-0_kd-fixed_a0.5_full_typed_pre2_s2,D,fixed,0.5,full_typed,2,False,2,0.9969362067227258,0.56,0.32715022935779814,0.8038770245224098,0.7836981426412518,0.7105263157894737,0.7495621716287215,0.2748036628920061,0.7999906944564784,0.7844551282051282,0.7241379310344828,0.717948717948718,0.34500698884343367,0.7587274974699356,0.7330837242872609,0.6927710843373494,0.7159090909090909,0.288599034876518
D0v_pair-0_kd-fixed_a0.5_full_typed_pre2_s3,D,fixed,0.5,full_typed,2,False,3,0.9968758882037592,0.53,0.32715022935779814,0.782911234795952,0.7658232990461334,0.7158671586715867,0.7456445993031359,0.2748036628920061,0.7451935267043038,0.7167467948717948,0.6785714285714286,0.6495726495726496,0.34500698884343367,0.7347846782613412,0.7035366293756767,0.6746987951807228,0.6968838526912181,0.288599034876518
D1_pair-0_kd-fixed_a0.5_full_typed_pre2_s1,D,fixed,0.5,full_typed,2,False,1,0.9803953803120501,0.62,0.3724236497668121,0.7350472045726197,0.7112887762232081,0.6370967741935484,0.6973451327433628,0.31623769341420477,0.727499657547769,0.6983173076923077,0.6666666666666666,0.6551724137931034,0.39131439271882734,0.692896776953468,0.6594640923854205,0.660436137071651,0.6741573033707865,0.33116323905874595
D1_pair-0_kd-fixed_a0.5_full_typed_pre2_s2,D,fixed,0.5,full_typed,2,False,2,0.9817558156360117,0.26,0.3724236497668121,0.7463224944341365,0.7219649328068378,0.7142857142857143,0.7104795737122558,0.31623769341420477,0.7402200990695432,0.7315705128205128,0.7049180327868853,0.7130434782608696,0.39131439271882734,0.6988619589331908,0.6634788884879106,0.6991869918699187,0.7019498607242339,0.33116323905874595
D1_pair-0_kd-fixed_a0.5_full_typed_pre2_s3,D,fixed,0.5,full_typed,2,False,3,0.9815377644712018,0.4,0.3724236497668121,0.7339036960867535,0.7059100732868587,0.6568265682656826,0.6903914590747331,0.31623769341420477,0.7058439504186579,0.6666666666666667,0.6434782608695652,0.6434782608695652,0.39131439271882734,0.6815683465193738,0.6437206784554312,0.6492753623188405,0.6816901408450704,0.33116323905874595
D1_pair-1_kd-fixed_a0.5_full_typed_pre2_s1,D,fixed,0.5,full_typed,2,True,1,0.9903390843560058,0.34,0.3724236497668121,0.7130405560985698,0.6750678431563724,0.6455223880597015,0.6531365313653137,0.31623769341420477,0.7825216494075469,0.7688301282051282,0.6766917293233082,0.6818181818181818,0.39131439271882734,0.7733514703746734,0.796282930350054,0.7248322147651006,0.7248322147651006,0.33116323905874595
D1_pair-1_kd-fixed_a0.5_full_typed_pre2_s2,D,fixed,0.5,full_typed,2,True,2,0.989842919698814,0.53,0.3724236497668121,0.7239556942943852,0.6883277271323877,0.6456692913385826,0.6896551724137931,0.31623769341420477,0.8197419028871459,0.7876602564102564,0.6875,0.696969696969697,0.39131439271882734,0.7963723396300912,0.8051470588235294,0.7375565610859729,0.7325842696629213,0.33116323905874595
D1_pair-1_kd-fixed_a0.5_full_typed_pre2_s3,D,fixed,0.5,full_typed,2,True,3,0.9919777963938489,0.46,0.3724236497668121,0.691252936622101,0.6738166041047141,0.6541353383458647,0.6797853309481217,0.31623769341420477,0.7790050280694437,0.7744391025641024,0.6717557251908397,0.6717557251908397,0.39131439271882734,0.7974256232862527,0.802508119812342,0.7276785714285714,0.7228381374722838,0.33116323905874595
D2_pair-0_kd-fixed_a0.5_full_typed_pre2_s1,D,fixed,0.5,full_typed,2,False,1,0.34963645227283047,0.18000000000000002,0.08480402934063518,0.8742645249209702,0.8809372917986966,0.8333333333333334,0.8256,0.06735307755240261,0.7758144783731363,0.859375,0.7964601769911505,0.746031746031746,0.09122633505281665,0.8337864583219283,0.8561439913388669,0.8205128205128205,0.797979797979798,0.07176483785604898
D2_pair-0_kd-fixed_a0.5_full_typed_pre2_s2,D,fixed,0.5,full_typed,2,False,2,0.3420631148318998,0.33,0.08480402934063518,0.8966180190276871,0.893807179187182,0.8516579406631762,0.8198757763975155,0.06735307755240261,0.8069433778928495,0.859375,0.7927927927927928,0.732824427480916,0.09122633505281665,0.8516951338759604,0.8601587874413569,0.8252148997134671,0.7813267813267813,0.07176483785604898
D2_pair-0_kd-fixed_a0.5_full_typed_pre2_s3,D,fixed,0.5,full_typed,2,False,3,0.3478199442641644,0.35000000000000003,0.08480402934063518,0.888934100349432,0.9019158582362404,0.8581436077057794,0.8233532934131736,0.06735307755240261,0.7891589041136646,0.8713942307692308,0.8108108108108109,0.7218045112781954,0.09122633505281665,0.8386587568435435,0.8607452183327319,0.8231884057971014,0.7710843373493976,0.07176483785604898
D2_pair-1_kd-fixed_a0.3_full_typed_pre0_s1,D,fixed,0.3,full_typed,0,True,1,0.34594552268352785,0.3,0.08480402934063518,0.8833066734293974,0.8908334552072671,0.8023715415019763,0.8482871125611745,0.06735307755240261,0.7904167122764408,0.8573717948717948,0.7766990291262136,0.7603305785123967,0.09122633505281665,0.8411428222765944,0.8577228437387225,0.7962962962962963,0.7853658536585366,0.07176483785604898
D2_pair-1_kd-fixed_a0.3_full_typed_pre0_s2,D,fixed,0.3,full_typed,0,True,2,0.3218680094861571,0.2,0.08480402934063518,0.8887448183605559,0.8935146817465348,0.8516579406631762,0.8444444444444444,0.06735307755240261,0.8088607308218546,0.8649839743589743,0.7899159663865546,0.732824427480916,0.09122633505281665,0.8581839527199393,0.8657975460122699,0.8155844155844156,0.7605633802816901,0.07176483785604898
